[2026-05-24 15:32:04] LOCAL: :::62490 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:52] LOCAL: 192.168.137.41:138 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:52] LOCAL: :::16992 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:52] LOCAL: :::5353 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:52] LOCAL: 192.168.56.1:52892 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:52] LOCAL: 127.0.0.1:64585 | REMOTE: 127.0.0.1:64586 | STATUS: ESTABLISHED
[2026-05-24 15:34:52] LOCAL: ::1:1900 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:52] LOCAL: :::49666 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:52] LOCAL: ::1:52890 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:52] LOCAL: fe80::1653:c72:3629:502d:52889 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:52] LOCAL: 0.0.0.0:61447 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:52] LOCAL: :::49706 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:52] LOCAL: 192.168.137.41:55364 | REMOTE: 128.85.75.152:443 | STATUS: ESTABLISHED
[2026-05-24 15:34:52] LOCAL: 127.0.0.1:64590 | REMOTE: 127.0.0.1:64585 | STATUS: ESTABLISHED
[2026-05-24 15:34:52] LOCAL: ::1:49669 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:52] LOCAL: 172.20.224.1:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:52] LOCAL: :::50074 | REMOTE: N/A:N/A | STATUS: NONE

[2026-05-24 15:34:52] Connections checked: 107 | External: 4 | Suspicious: 0

[2026-05-24 15:34:58] LOCAL: :::62490 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: ::1:42050 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: 127.0.0.1:52894 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: 0.0.0.0:62490 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: 127.0.0.1:64585 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: :::49668 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: 0.0.0.0:5355 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: 192.168.137.41:63517 | REMOTE: 20.189.173.8:443 | STATUS: TIME_WAIT
[2026-05-24 15:34:58] LOCAL: :::49667 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: 127.0.0.1:52899 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: fe80::5f0c:aefc:be32:3225:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: 0.0.0.0:16992 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: 0.0.0.0:123 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: 192.168.137.41:49468 | REMOTE: 172.172.255.217:443 | STATUS: ESTABLISHED
[2026-05-24 15:34:58] LOCAL: 172.20.224.1:137 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: 0.0.0.0:50284 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: 0.0.0.0:49668 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: 0.0.0.0:49666 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: 192.168.137.41:53660 | REMOTE: 20.42.65.89:443 | STATUS: ESTABLISHED
[2026-05-24 15:34:58] LOCAL: fe80::1653:c72:3629:502d:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: 0.0.0.0:49706 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: 0.0.0.0:623 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: 172.20.224.1:139 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: :::5353 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: 192.168.137.41:138 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: :::16992 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: :::5353 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: 192.168.56.1:52892 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: 127.0.0.1:64585 | REMOTE: 127.0.0.1:64586 | STATUS: ESTABLISHED
[2026-05-24 15:34:58] LOCAL: ::1:1900 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: :::49666 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: ::1:52890 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: fe80::1653:c72:3629:502d:52889 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: 0.0.0.0:61447 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: :::49706 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: 192.168.137.41:55364 | REMOTE: 128.85.75.152:443 | STATUS: ESTABLISHED
[2026-05-24 15:34:58] LOCAL: 127.0.0.1:64590 | REMOTE: 127.0.0.1:64585 | STATUS: ESTABLISHED
[2026-05-24 15:34:58] LOCAL: ::1:49669 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:34:58] LOCAL: 172.20.224.1:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:34:58] LOCAL: :::50074 | REMOTE: N/A:N/A | STATUS: NONE

[2026-05-24 15:34:58] Connections checked: 107 | External: 4 | Suspicious: 0

[2026-05-24 15:35:03] LOCAL: :::62490 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: ::1:42050 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: 127.0.0.1:52894 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: 0.0.0.0:62490 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: 127.0.0.1:64585 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: :::49668 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: 0.0.0.0:5355 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: 192.168.137.41:63517 | REMOTE: 20.189.173.8:443 | STATUS: TIME_WAIT
[2026-05-24 15:35:03] LOCAL: :::49667 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: 127.0.0.1:52899 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: fe80::5f0c:aefc:be32:3225:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: 0.0.0.0:16992 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: 0.0.0.0:123 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: 192.168.137.41:49468 | REMOTE: 172.172.255.217:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:03] LOCAL: 172.20.224.1:137 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: 0.0.0.0:50284 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: 0.0.0.0:49668 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: 0.0.0.0:49666 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: 192.168.137.41:53660 | REMOTE: 20.42.65.89:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:03] LOCAL: fe80::1653:c72:3629:502d:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: 0.0.0.0:49706 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: 0.0.0.0:623 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: 172.20.224.1:139 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: :::5353 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: 192.168.137.41:138 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: :::16992 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: :::5353 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: 192.168.56.1:52892 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: 127.0.0.1:64585 | REMOTE: 127.0.0.1:64586 | STATUS: ESTABLISHED
[2026-05-24 15:35:03] LOCAL: ::1:1900 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: :::49666 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: ::1:52890 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: fe80::1653:c72:3629:502d:52889 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: :::49706 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: 192.168.137.41:55364 | REMOTE: 128.85.75.152:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:03] LOCAL: 127.0.0.1:64590 | REMOTE: 127.0.0.1:64585 | STATUS: ESTABLISHED
[2026-05-24 15:35:03] LOCAL: ::1:49669 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:03] LOCAL: 172.20.224.1:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: :::50074 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:03] LOCAL: 0.0.0.0:55766 | REMOTE: N/A:N/A | STATUS: NONE

[2026-05-24 15:35:03] Connections checked: 107 | External: 4 | Suspicious: 0

[2026-05-24 15:35:08] LOCAL: :::62490 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: ::1:42050 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: 127.0.0.1:52894 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: 0.0.0.0:62490 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: 127.0.0.1:64585 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: :::49668 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: 0.0.0.0:5355 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: 192.168.137.41:63517 | REMOTE: 20.189.173.8:443 | STATUS: TIME_WAIT
[2026-05-24 15:35:08] LOCAL: :::49667 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: 127.0.0.1:52899 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: fe80::5f0c:aefc:be32:3225:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: 0.0.0.0:16992 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: 0.0.0.0:123 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: 192.168.137.41:49468 | REMOTE: 172.172.255.217:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:08] LOCAL: 172.20.224.1:137 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: 0.0.0.0:50284 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: 0.0.0.0:49668 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: 0.0.0.0:49666 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: 192.168.137.41:53660 | REMOTE: 20.42.65.89:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:08] LOCAL: fe80::1653:c72:3629:502d:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: 0.0.0.0:49706 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: 0.0.0.0:623 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: 172.20.224.1:139 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: :::5353 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: 192.168.137.41:138 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: :::16992 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: :::5353 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: 192.168.56.1:52892 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: 127.0.0.1:64585 | REMOTE: 127.0.0.1:64586 | STATUS: ESTABLISHED
[2026-05-24 15:35:08] LOCAL: ::1:1900 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: :::49666 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: ::1:52890 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: fe80::1653:c72:3629:502d:52889 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: :::49706 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: 192.168.137.41:55364 | REMOTE: 128.85.75.152:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:08] LOCAL: 127.0.0.1:64590 | REMOTE: 127.0.0.1:64585 | STATUS: ESTABLISHED
[2026-05-24 15:35:08] LOCAL: ::1:49669 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:08] LOCAL: 172.20.224.1:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: :::50074 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:08] LOCAL: 0.0.0.0:55766 | REMOTE: N/A:N/A | STATUS: NONE

[2026-05-24 15:35:08] Connections checked: 104 | External: 4 | Suspicious: 0

[2026-05-24 15:35:13] LOCAL: :::62490 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: ::1:42050 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: 127.0.0.1:52894 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: 0.0.0.0:62490 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: 127.0.0.1:64585 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: :::49668 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: 0.0.0.0:5355 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: 192.168.137.41:63517 | REMOTE: 20.189.173.8:443 | STATUS: TIME_WAIT
[2026-05-24 15:35:13] LOCAL: :::49667 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: 127.0.0.1:52899 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: fe80::5f0c:aefc:be32:3225:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: 0.0.0.0:16992 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: 0.0.0.0:123 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: 192.168.137.41:49468 | REMOTE: 172.172.255.217:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:13] LOCAL: 172.20.224.1:137 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: 0.0.0.0:50284 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: 0.0.0.0:49668 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: 0.0.0.0:49666 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: 192.168.137.41:53660 | REMOTE: 20.42.65.89:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:13] LOCAL: fe80::1653:c72:3629:502d:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: 0.0.0.0:49706 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: 0.0.0.0:623 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: 172.20.224.1:139 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: :::5353 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: 192.168.137.41:138 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: :::16992 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: :::5353 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: 192.168.56.1:52892 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: 127.0.0.1:64585 | REMOTE: 127.0.0.1:64586 | STATUS: ESTABLISHED
[2026-05-24 15:35:13] LOCAL: ::1:1900 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: :::49666 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: ::1:52890 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: fe80::1653:c72:3629:502d:52889 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: :::49706 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: 192.168.137.41:55364 | REMOTE: 128.85.75.152:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:13] LOCAL: 127.0.0.1:64590 | REMOTE: 127.0.0.1:64585 | STATUS: ESTABLISHED
[2026-05-24 15:35:13] LOCAL: ::1:49669 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:13] LOCAL: 172.20.224.1:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: :::50074 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:13] LOCAL: 0.0.0.0:55766 | REMOTE: N/A:N/A | STATUS: NONE

[2026-05-24 15:35:13] Connections checked: 104 | External: 4 | Suspicious: 0

[2026-05-24 15:35:18] LOCAL: :::62490 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: ::1:42050 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: 127.0.0.1:52894 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: 0.0.0.0:62490 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: 127.0.0.1:64585 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: :::49668 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: 0.0.0.0:5355 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: 192.168.137.41:63517 | REMOTE: 20.189.173.8:443 | STATUS: TIME_WAIT
[2026-05-24 15:35:18] LOCAL: :::49667 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: 127.0.0.1:52899 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: fe80::5f0c:aefc:be32:3225:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: 0.0.0.0:16992 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: 0.0.0.0:123 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: 192.168.137.41:49468 | REMOTE: 172.172.255.217:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:18] LOCAL: 172.20.224.1:137 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: 0.0.0.0:50284 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: 0.0.0.0:49668 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: 0.0.0.0:49666 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: 192.168.137.41:53660 | REMOTE: 20.42.65.89:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:18] LOCAL: fe80::1653:c72:3629:502d:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: 0.0.0.0:49706 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: 0.0.0.0:623 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: 172.20.224.1:139 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: :::5353 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: 192.168.137.41:138 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: :::16992 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: :::5353 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: 192.168.56.1:52892 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: 127.0.0.1:64585 | REMOTE: 127.0.0.1:64586 | STATUS: ESTABLISHED
[2026-05-24 15:35:18] LOCAL: ::1:1900 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: :::49666 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: ::1:52890 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: fe80::1653:c72:3629:502d:52889 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: :::49706 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: 192.168.137.41:55364 | REMOTE: 128.85.75.152:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:18] LOCAL: 127.0.0.1:64590 | REMOTE: 127.0.0.1:64585 | STATUS: ESTABLISHED
[2026-05-24 15:35:18] LOCAL: ::1:49669 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:18] LOCAL: 172.20.224.1:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: :::50074 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:18] LOCAL: 0.0.0.0:55766 | REMOTE: N/A:N/A | STATUS: NONE

[2026-05-24 15:35:18] Connections checked: 104 | External: 4 | Suspicious: 0

[2026-05-24 15:35:23] LOCAL: :::62490 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:23] LOCAL: ::1:42050 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:23] LOCAL: 127.0.0.1:52894 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:23] LOCAL: 0.0.0.0:62490 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:23] LOCAL: 127.0.0.1:64585 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:23] LOCAL: :::49668 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:23] LOCAL: 0.0.0.0:5355 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:23] LOCAL: 192.168.137.41:63517 | REMOTE: 20.189.173.8:443 | STATUS: TIME_WAIT
[2026-05-24 15:35:23] LOCAL: :::49667 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:23] LOCAL: 127.0.0.1:52899 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:23] LOCAL: fe80::5f0c:aefc:be32:3225:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:23] LOCAL: 0.0.0.0:16992 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:23] LOCAL: 0.0.0.0:123 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:23] LOCAL: 192.168.137.41:49468 | REMOTE: 172.172.255.217:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:23] LOCAL: 172.20.224.1:137 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:23] LOCAL: 0.0.0.0:50284 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:23] LOCAL: 0.0.0.0:49668 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:23] LOCAL: 0.0.0.0:49666 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:23] LOCAL: 192.168.137.41:53660 | REMOTE: 20.42.65.89:443 | STATUS: ESTABLISHED
[2026-05-24 15:35:23] LOCAL: fe80::1653:c72:3629:502d:2177 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:23] LOCAL: 0.0.0.0:49706 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:23] LOCAL: 0.0.0.0:623 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:23] LOCAL: 172.20.224.1:139 | REMOTE: N/A:N/A | STATUS: LISTEN
[2026-05-24 15:35:23] LOCAL: :::5353 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:23] LOCAL: 192.168.137.41:138 | REMOTE: N/A:N/A | STATUS: NONE
[2026-05-24 15:35:23] LOCAL: :::16992 | REMOTE: N/A:N/A | STATUS: LISTEN
